"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Bethlehem,PA,City","PA0480300","Bethlehem",0,1,8,35,18,90,3,2017,1,"City","Bethlehem,PA","City",44,111,"Bethlehem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",78606,NA,NA,"Inferred Dec 2019 from annual average","","PA0480300","Bethlehem",NA,"Northeast","Middle Atlantic","bethlehem","PA",59181,"city 50,000 thru 99,999",NA,NA,NA,NA,78606,"Bethlehem, PA","City","PA","PA"
"Bexar,TX,County","TX0150000","Bexar",3,15,19,23,136,404,44,2017,1,"County","Bexar,TX","County",60,584,"Bexar","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",438152,NA,NA,"","","TX0150000","Bexar",NA,"South","West South Central","bexar","TX",462282,"msa-county 100,000+",NA,NA,NA,NA,438152,"Bexar, TX","County","TX","TX"
"Bismarck,ND,City","ND0080100","Bismarck",0,4,2,27,34,119,26,2017,1,"City","Bismarck,ND","City",33,179,"Bismarck","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","","ND0080100","Bismarck",NA,"Midwest","West North Central","bismarck","ND",75546,"city 50,000 thru 99,999",NA,NA,NA,NA,74802,"Bismarck, ND","City","ND","ND"
"Blaine,MN,City","MN0020200","Blaine",0,1,1,5,13,124,3,2017,1,"City","Blaine,MN","City",7,140,"Blaine","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","","MN0020200","Blaine",NA,"Midwest","West North Central","blaine","MN",74913,"city 50,000 thru 99,999",NA,NA,NA,NA,72384,"Blaine, MN","City","MN","MN"
"Bloomfield,NJ,City","NJ0070200","Bloomfield",0,0,2,1,8,44,10,2017,1,"City","Bloomfield,NJ","City",3,62,"Bloomfield","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",55161,NA,NA,"Inferred Jan - Mar 2021 from annual total","","NJ0070200","Bloomfield",NA,"Northeast","Middle Atlantic","bloomfield","NJ",55161,"city 50,000 thru 99,999",NA,NA,NA,NA,53181,"Bloomfield, NJ","City","NJ","NJ"
"Bloomington,MN,City","MN0270100","Bloomington",0,5,5,6,16,211,15,2017,1,"City","Bloomington,MN","City",16,242,"Bloomington","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","","MN0270100","Bloomington",NA,"Midwest","West North Central","bloomington","MN",86598,"city 50,000 thru 99,999",NA,NA,NA,NA,86793,"Bloomington, MN","City","MN","MN"
"Blue Springs,MO,City","MO0480100","Blue Springs",0,1,0,8,13,109,7,2017,1,"City","Blue Springs,MO","City",9,129,"Blue Springs","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","","MO0480100","Blue Springs",NA,"Midwest","West North Central","blue springs","MO",61096,"city 50,000 thru 99,999",NA,NA,NA,NA,59896,"Blue Springs, MO","City","MO","MO"
"Bolingbrook,IL,City","IL0990200","Bolingbrook",0,0,2,11,7,56,10,2017,1,"City","Bolingbrook,IL","City",13,73,"Bolingbrook","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","","IL0990200","Bolingbrook",NA,"Midwest","East North Central","bolingbrook","IL",72708,"city 50,000 thru 99,999",NA,NA,NA,NA,74138,"Bolingbrook, IL","City","IL","IL"
"Boston,MA,City","MA0130100","Boston",5,34,152,219,169,940,131,2017,1,"City","Boston,MA","City",410,1240,"Boston","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",642823,NA,NA,"","","MA0130100","Boston",NA,"Northeast","New England","boston","MA",659049,"city 500,000 thru 999,999",NA,NA,NA,NA,642823,"Boston, MA","City","MA","MA"
"Brazoria,TX,County","TX0200000","Brazoria",0,4,5,7,34,53,13,2017,1,"County","Brazoria,TX","County",16,100,"Brazoria","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",132229,NA,NA,"","","TX0200000","Brazoria",NA,"South","West South Central","brazoria","TX",141817,"msa-county 100,000+",NA,NA,NA,NA,132229,"Brazoria, TX","County","TX","TX"
"Brentwood,CA,City","CA0070200","Brentwood",0,3,5,10,32,99,9,2017,1,"City","Brentwood,CA","City",18,140,"Brentwood","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",66976,NA,NA,"","","CA0070200","Brentwood",NA,"West","Pacific","brentwood","CA",65352,"city 50,000 thru 99,999",NA,NA,NA,NA,66976,"Brentwood, CA","City","CA","CA"
"Bristol,CT,City","CT0001700","Bristol",1,0,1,2,14,38,6,2017,1,"City","Bristol,CT","City",4,58,"Bristol","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",61609,NA,NA,"","","CT0001700","Bristol",NA,"Northeast","New England","bristol","CT",61895,"city 50,000 thru 99,999",NA,NA,NA,NA,61609,"Bristol, CT","City","CT","CT"
"Brockton,MA,City","MA0120300","Brockton",2,10,12,53,37,132,20,2017,1,"City","Brockton,MA","City",77,189,"Brockton","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",108938,NA,NA,"","","MA0120300","Brockton",NA,"Northeast","New England","brockton","MA",106650,"city 100,000 thru 249,999",NA,NA,NA,NA,108938,"Brockton, MA","City","MA","MA"
"Brooklyn Park,MN,City","MN0270300","Brooklyn Park",0,6,5,13,21,137,8,2017,1,"City","Brooklyn Park,MN","City",24,166,"Brooklyn Park","https://cde.state.mn.us/","State UCR","Open Source",81920,NA,NA,"","","MN0270300","Brooklyn Park",NA,"Midwest","West North Central","brooklyn park","MN",80665,"city 50,000 thru 99,999",NA,NA,NA,NA,81920,"Brooklyn Park, MN","City","MN","MN"
